EVENT_DATE,事件数,EVENT_TYPE,SUB_EVENT_TYPE,ADMIN1,ADMIN2,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,死亡人数
21-Aug-18,2,Strategic developments,Change to group/activity,Beijing,Beijing,Beijing,39.906,116.391,3,0
21-Aug-18,1,Riots,Violent demonstration,Sichuan,Leshan,Shizhong,29.555,103.761,2,0
21-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Hebi,Qibin,35.741,114.299,1,0
21-Aug-18,1,Protests,Protest with intervention,Beijing,Beijing,Beijing,39.906,116.391,3,0
21-Aug-18,2,Protests,Peaceful protest,Liaoning,Fushun,Shuncheng,41.883,123.945,2,0
21-Aug-18,1,Protests,Protest with intervention,Shaanxi,Yulin,Yuyang,38.277,109.72,2,0
21-Aug-18,2,Protests,Peaceful protest,Hebei,Langfang,Bazhou,39.126,116.391,1,0
22-Aug-18,1,Protests,Excessive force against protesters,Jiangsu,Yancheng,Jianhu,33.464,119.799,1,0
22-Aug-18,2,Protests,Peaceful protest,Jilin,Changchun,Chaoyang,43.833,125.288,2,0
22-Aug-18,1,Violence against civilians,Abduction/forced disappearance,Guangdong,Guangzhou,Guangzhou-Liwan,23.088,113.233,1,0
22-Aug-18,2,Protests,Peaceful protest,Guangdong,Dongguan,Nancheng,23.019,113.744,2,0
22-Aug-18,2,Protests,Peaceful protest,Jilin,Changchun,Kuancheng,43.902,125.326,1,0
22-Aug-18,2,Protests,Peaceful protest,Hunan,Yongzhou,Lengshuitan,26.461,111.592,2,0
22-Aug-18,1,Violence against civilians,Attack,Henan,Nanyang,Wolong,32.99,112.529,1,0
22-Aug-18,2,Protests,Peaceful protest,Hebei,Tangshan,Lubei,39.624,118.201,2,0
22-Aug-18,2,Protests,Peaceful protest,Hunan,Yongzhou,Lengshuitan,26.461,111.592,2,0
23-Aug-18,1,Violence against civilians,Abduction/forced disappearance,Guangdong,Shenzhen,Shenzhen-Bao'an,22.687,113.863,1,0
23-Aug-18,1,Violence against civilians,Attack,Fujian,Fuzhou,Chengmen,25.992,119.369,1,0
23-Aug-18,1,Protests,Peaceful protest,Hainan,Ding'an County,Dingcheng,19.68,110.368,1,0
