Dates,Category,Descript,PdDistrict,DayOfWeek
2018/3/19,Protests,Peaceful protest,Heilongjiang,星期一
2018/3/19,Protests,Peaceful protest,Shaanxi,星期一
2018/3/19,Violence against civilians,Abduction/forced disappearance,Hubei,星期一
2018/3/20,Protests,Peaceful protest,Shaanxi,星期二
2018/3/20,Protests,Peaceful protest,Shandong,星期二
2018/3/20,Protests,Peaceful protest,Sichuan,星期二
2018/3/21,Protests,Peaceful protest,Henan,星期三
2018/3/21,Violence against civilians,Attack,Shanghai,星期三
2018/3/21,Protests,Peaceful protest,Shaanxi,星期三
2018/3/21,Strategic developments,Change to group/activity,Jiangxi,星期三
2018/3/21,Protests,Peaceful protest,Henan,星期三
2018/3/22,Protests,Peaceful protest,Chongqing,星期四
2018/3/22,Protests,Peaceful protest,Guangdong,星期四
2018/3/22,Protests,Peaceful protest,Guangdong,星期四
2018/3/22,Protests,Peaceful protest,Shanxi,星期四
2018/3/22,Protests,Peaceful protest,Shanxi,星期四
2018/3/22,Protests,Peaceful protest,Henan,星期四
2018/3/22,Protests,Peaceful protest,Shaanxi,星期四
2018/3/22,Strategic developments,Change to group/activity,Yunnan,星期四
2018/3/23,Strategic developments,Change to group/activity,Henan,星期五
2018/3/23,Protests,Peaceful protest,Jiangsu,星期五
2018/3/23,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期五
2018/3/24,Violence against civilians,Attack,Jiangsu,星期六
2018/3/24,Protests,Peaceful protest,Zhejiang,星期六
2018/3/25,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期日
2018/3/25,Protests,Peaceful protest,Fujian,星期日
2018/3/25,Protests,Peaceful protest,Zhejiang,星期日
2018/3/25,Violence against civilians,Abduction/forced disappearance,Beijing,星期日
2018/3/26,Protests,Peaceful protest,Shaanxi,星期一
2018/3/26,Violence against civilians,Abduction/forced disappearance,Beijing,星期一
2018/3/26,Protests,Peaceful protest,Henan,星期一
2018/3/26,Protests,Peaceful protest,Hunan,星期一
2018/3/26,Protests,Peaceful protest,Guangxi,星期一
2018/3/26,Protests,Protest with intervention,Shanghai,星期一
2018/3/27,Violence against civilians,Abduction/forced disappearance,Gansu,星期二
2018/3/27,Protests,Peaceful protest,Shanghai,星期二
2018/3/27,Violence against civilians,Attack,Henan,星期二
2018/3/27,Violence against civilians,Abduction/forced disappearance,Beijing,星期二
2018/3/27,Protests,Peaceful protest,Heilongjiang,星期二
2018/3/27,Protests,Peaceful protest,Hebei,星期二
2018/3/27,Protests,Peaceful protest,Anhui,星期二
2018/3/28,Protests,Peaceful protest,Jiangxi,星期三
2018/3/28,Riots,Mob violence,Guangxi,星期三
2018/3/28,Violence against civilians,Attack,Jiangsu,星期三
2018/3/29,Protests,Peaceful protest,Hebei,星期四
2018/3/29,Protests,Peaceful protest,Henan,星期四
2018/3/29,Violence against civilians,Abduction/forced disappearance,Fujian,星期四
2018/3/29,Protests,Peaceful protest,Zhejiang,星期四
2018/3/29,Protests,Protest with intervention,Guangdong,星期四
2018/3/30,Strategic developments,Arrests,Jiangsu,星期五
2018/3/30,Protests,Peaceful protest,Hebei,星期五
2018/3/30,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期五
2018/3/30,Protests,Peaceful protest,Shanghai,星期五
2018/3/30,Violence against civilians,Attack,Beijing,星期五
2018/3/30,Violence against civilians,Abduction/forced disappearance,Beijing,星期五
2018/3/30,Protests,Peaceful protest,Shaanxi,星期五
2018/3/31,Strategic developments,Change to group/activity,Henan,星期六
2018/3/31,Strategic developments,Change to group/activity,Henan,星期六
2018/3/31,Violence against civilians,Abduction/forced disappearance,Tibet,星期六
2018/3/31,Protests,Peaceful protest,Henan,星期六
2018/3/31,Protests,Peaceful protest,Shanghai,星期六
2018/3/31,Protests,Peaceful protest,Sichuan,星期六
2018/3/31,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期六
2018/3/31,Violence against civilians,Attack,Xinjiang,星期六
2018/3/31,Strategic developments,Looting/property destruction,Ningxia,星期六
2018/3/31,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期六
2018/3/31,Protests,Peaceful protest,Jiangsu,星期六
2018/4/1,Protests,Peaceful protest,Jiangsu,星期日
2018/4/1,Protests,Peaceful protest,Guangdong,星期日
2018/4/1,Strategic developments,Looting/property destruction,Jiangsu,星期日
2018/4/1,Protests,Peaceful protest,Shaanxi,星期日
2018/4/1,Protests,Peaceful protest,Hebei,星期日
2018/4/1,Violence against civilians,Attack,Xinjiang,星期日
2018/4/1,Protests,Peaceful protest,Yunnan,星期日
2018/4/1,Protests,Peaceful protest,Anhui,星期日
2018/4/1,Violence against civilians,Attack,Guizhou,星期日
2018/4/1,Strategic developments,Looting/property destruction,Henan,星期日
2018/4/1,Strategic developments,Change to group/activity,Liaoning,星期日
2018/4/1,Strategic developments,Looting/property destruction,Henan,星期日
2018/4/1,Violence against civilians,Abduction/forced disappearance,Chongqing,星期日
2018/4/2,Protests,Peaceful protest,Heilongjiang,星期一
2018/4/2,Protests,Protest with intervention,Hunan,星期一
2018/4/2,Protests,Peaceful protest,Guangdong,星期一
2018/4/2,Violence against civilians,Attack,Macao,星期一
2018/4/2,Riots,Mob violence,Henan,星期一
2018/4/2,Violence against civilians,Attack,Jiangsu,星期一
2018/4/2,Protests,Peaceful protest,Guangdong,星期一
2018/4/2,Violence against civilians,Attack,Yunnan,星期一
2018/4/2,Protests,Protest with intervention,Guangdong,星期一
2018/4/3,Riots,Violent demonstration,Guangdong,星期二
2018/4/3,Violence against civilians,Attack,Jiangsu,星期二
2018/4/3,Violence against civilians,Abduction/forced disappearance,Beijing,星期二
2018/4/3,Protests,Peaceful protest,Jiangxi,星期二
2018/4/3,Protests,Peaceful protest,Shaanxi,星期二
2018/4/3,Protests,Peaceful protest,Beijing,星期二
2018/4/3,Protests,Protest with intervention,Guangdong,星期二
2018/4/3,Violence against civilians,Attack,Guangxi,星期二
2018/4/3,Protests,Peaceful protest,Guizhou,星期二
2018/4/4,Violence against civilians,Attack,Jilin,星期三
2018/4/4,Riots,Violent demonstration,Guangdong,星期三
2018/4/4,Riots,Mob violence,Shaanxi,星期三
2018/4/4,Protests,Peaceful protest,Beijing,星期三
2018/4/5,Violence against civilians,Abduction/forced disappearance,Qinghai,星期四
2018/4/5,Violence against civilians,Attack,Guangdong,星期四
2018/4/5,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期四
2018/4/5,Protests,Protest with intervention,Guangdong,星期四
2018/4/5,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期四
2018/4/5,Protests,Peaceful protest,Guangdong,星期四
2018/4/5,Protests,Peaceful protest,Jiangsu,星期四
2018/4/5,Protests,Peaceful protest,Guangxi,星期四
2018/4/5,Protests,Peaceful protest,Jiangsu,星期四
2018/4/6,Protests,Protest with intervention,Yunnan,星期五
2018/4/6,Protests,Peaceful protest,Shanghai,星期五
2018/4/6,Protests,Peaceful protest,Shaanxi,星期五
2018/4/6,Strategic developments,Looting/property destruction,Henan,星期五
2018/4/6,Protests,Peaceful protest,Liaoning,星期五
2018/4/6,Riots,Mob violence,Guangdong,星期五
2018/4/7,Protests,Peaceful protest,Shaanxi,星期六
2018/4/7,Protests,Peaceful protest,Shaanxi,星期六
2018/4/8,Protests,Protest with intervention,Shaanxi,星期日
2018/4/8,Violence against civilians,Abduction/forced disappearance,Jiangxi,星期日
2018/4/8,Protests,Peaceful protest,Jiangxi,星期日
2018/4/8,Riots,Mob violence,Henan,星期日
2018/4/8,Violence against civilians,Attack,Beijing,星期日
2018/4/8,Protests,Protest with intervention,Guangdong,星期日
2018/4/9,Violence against civilians,Abduction/forced disappearance,Beijing,星期一
2018/4/9,Violence against civilians,Attack,Sichuan,星期一
2018/4/9,Protests,Peaceful protest,Liaoning,星期一
2018/4/9,Protests,Peaceful protest,Henan,星期一
2018/4/9,Protests,Peaceful protest,Gansu,星期一
2018/4/9,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期一
2018/4/9,Protests,Peaceful protest,Henan,星期一
2018/4/9,Protests,Peaceful protest,Hebei,星期一
2018/4/9,Protests,Peaceful protest,Henan,星期一
2018/4/9,Protests,Peaceful protest,Shaanxi,星期一
2018/4/9,Strategic developments,Looting/property destruction,Henan,星期一
2018/4/9,Protests,Peaceful protest,Hebei,星期一
2018/4/9,Protests,Peaceful protest,Jiangsu,星期一
2018/4/9,Protests,Protest with intervention,Guangxi,星期一
2018/4/9,Protests,Protest with intervention,Heilongjiang,星期一
2018/4/10,Protests,Protest with intervention,Shaanxi,星期二
2018/4/10,Protests,Peaceful protest,Henan,星期二
2018/4/10,Protests,Peaceful protest,Shaanxi,星期二
2018/4/10,Protests,Peaceful protest,Jiangsu,星期二
2018/4/10,Strategic developments,Looting/property destruction,Xinjiang,星期二
2018/4/10,Strategic developments,Change to group/activity,Qinghai,星期二
2018/4/10,Protests,Peaceful protest,Beijing,星期二
2018/4/10,Protests,Peaceful protest,Hubei,星期二
2018/4/10,Violence against civilians,Abduction/forced disappearance,Tianjin,星期二
2018/4/10,Protests,Peaceful protest,Guangdong,星期二
2018/4/11,Protests,Peaceful protest,Anhui,星期三
2018/4/11,Protests,Peaceful protest,Hunan,星期三
2018/4/11,Violence against civilians,Attack,Beijing,星期三
2018/4/11,Protests,Peaceful protest,Liaoning,星期三
2018/4/11,Protests,Peaceful protest,Jiangsu,星期三
2018/4/11,Violence against civilians,Abduction/forced disappearance,Qinghai,星期三
2018/4/11,Protests,Peaceful protest,Sichuan,星期三
2018/4/11,Protests,Peaceful protest,Henan,星期三
2018/4/11,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期三
2018/4/11,Strategic developments,Looting/property destruction,Henan,星期三
2018/4/11,Protests,Excessive force against protesters,Inner Mongolia,星期三
2018/4/11,Violence against civilians,Abduction/forced disappearance,Sichuan,星期三
2018/4/12,Protests,Peaceful protest,Henan,星期四
2018/4/12,Protests,Peaceful protest,Jiangsu,星期四
2018/4/12,Protests,Peaceful protest,Zhejiang,星期四
2018/4/12,Protests,Peaceful protest,Yunnan,星期四
2018/4/12,Protests,Peaceful protest,Hunan,星期四
2018/4/12,Strategic developments,Looting/property destruction,Yunnan,星期四
2018/4/12,Riots,Violent demonstration,Heilongjiang,星期四
2018/4/12,Riots,Violent demonstration,Guangdong,星期四
2018/4/13,Protests,Peaceful protest,Shandong,星期五
2018/4/13,Protests,Peaceful protest,Henan,星期五
2018/4/13,Riots,Violent demonstration,Guangdong,星期五
2018/4/13,Protests,Peaceful protest,Beijing,星期五
2018/4/13,Protests,Peaceful protest,Guangdong,星期五
2018/4/13,Protests,Peaceful protest,Beijing,星期五
2018/4/14,Protests,Peaceful protest,Guangxi,星期六
2018/4/14,Protests,Peaceful protest,Henan,星期六
2018/4/14,Violence against civilians,Attack,Jiangsu,星期六
2018/4/14,Protests,Peaceful protest,Guangdong,星期六
2018/4/15,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期日
2018/4/15,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期日
2018/4/15,Violence against civilians,Attack,Chongqing,星期日
2018/4/15,Violence against civilians,Attack,Beijing,星期日
2018/4/15,Strategic developments,Change to group/activity,Hebei,星期日
2018/4/15,Strategic developments,Looting/property destruction,Anhui,星期日
2018/4/15,Strategic developments,Looting/property destruction,Ningxia,星期日
2018/4/15,Strategic developments,Change to group/activity,Ningxia,星期日
2018/4/15,Protests,Peaceful protest,Heilongjiang,星期日
2018/4/15,Violence against civilians,Attack,Jiangsu,星期日
2018/4/15,Strategic developments,Looting/property destruction,Henan,星期日
2018/4/15,Violence against civilians,Attack,Jiangsu,星期日
2018/4/15,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期日
2018/4/15,Strategic developments,Looting/property destruction,Qinghai,星期日
2018/4/15,Protests,Protest with intervention,Fujian,星期日
2018/4/15,Protests,Peaceful protest,Shaanxi,星期日
2018/4/15,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期日
2018/4/15,Strategic developments,Change to group/activity,Ningxia,星期日
2018/4/15,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期日
2018/4/15,Protests,Peaceful protest,Shandong,星期日
2018/4/15,Violence against civilians,Attack,Beijing,星期日
2018/4/15,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期日
2018/4/15,Strategic developments,Looting/property destruction,Xinjiang,星期日
2018/4/15,Strategic developments,Change to group/activity,Xinjiang,星期日
2018/4/15,Strategic developments,Looting/property destruction,Henan,星期日
2018/4/15,Protests,Protest with intervention,Hunan,星期日
2018/4/15,Strategic developments,Change to group/activity,Shandong,星期日
2018/4/16,Violence against civilians,Abduction/forced disappearance,Beijing,星期一
2018/4/16,Strategic developments,Looting/property destruction,Henan,星期一
2018/4/16,Protests,Peaceful protest,Guangdong,星期一
2018/4/16,Strategic developments,Looting/property destruction,Henan,星期一
2018/4/17,Protests,Peaceful protest,Sichuan,星期二
2018/4/17,Strategic developments,Looting/property destruction,Henan,星期二
2018/4/17,Protests,Peaceful protest,Guangdong,星期二
2018/4/17,Violence against civilians,Abduction/forced disappearance,Chongqing,星期二
2018/4/17,Strategic developments,Looting/property destruction,Xinjiang,星期二
2018/4/17,Strategic developments,Looting/property destruction,Henan,星期二
2018/4/17,Strategic developments,Looting/property destruction,Henan,星期二
2018/4/17,Strategic developments,Looting/property destruction,Henan,星期二
2018/4/17,Strategic developments,Change to group/activity,Henan,星期二
2018/4/17,Strategic developments,Change to group/activity,Henan,星期二
2018/4/17,Strategic developments,Looting/property destruction,Henan,星期二
2018/4/17,Strategic developments,Looting/property destruction,Henan,星期二
2018/4/17,Protests,Protest with intervention,Heilongjiang,星期二
2018/4/18,Protests,Peaceful protest,Hebei,星期三
2018/4/18,Protests,Peaceful protest,Shanghai,星期三
2018/4/18,Protests,Peaceful protest,Yunnan,星期三
2018/4/18,Protests,Peaceful protest,Sichuan,星期三
2018/4/18,Protests,Peaceful protest,Beijing,星期三
2018/4/18,Riots,Mob violence,Shanxi,星期三
2018/4/18,Violence against civilians,Attack,Henan,星期三
2018/4/18,Protests,Peaceful protest,Jiangsu,星期三
2018/4/18,Protests,Peaceful protest,Jiangsu,星期三
2018/4/18,Protests,Peaceful protest,Jiangsu,星期三
2018/4/18,Protests,Peaceful protest,Shaanxi,星期三
2018/4/19,Protests,Peaceful protest,Chongqing,星期四
2018/4/19,Violence against civilians,Attack,Hubei,星期四
2018/4/19,Protests,Peaceful protest,Shanxi,星期四
2018/4/19,Strategic developments,Looting/property destruction,Henan,星期四
2018/4/19,Protests,Peaceful protest,Jiangsu,星期四
2018/4/19,Protests,Peaceful protest,Hubei,星期四
2018/4/19,Violence against civilians,Attack,Guangdong,星期四
2018/4/19,Protests,Peaceful protest,Guangdong,星期四
2018/4/20,Protests,Peaceful protest,Shanghai,星期五
2018/4/20,Strategic developments,Looting/property destruction,Henan,星期五
2018/4/20,Protests,Peaceful protest,Guangdong,星期五
2018/4/20,Protests,Peaceful protest,Jiangsu,星期五
2018/4/20,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期五
2018/4/20,Strategic developments,Looting/property destruction,Hunan,星期五
2018/4/20,Protests,Peaceful protest,Shandong,星期五
2018/4/20,Violence against civilians,Attack,Henan,星期五
2018/4/20,Protests,Peaceful protest,Liaoning,星期五
2018/4/20,Protests,Peaceful protest,Henan,星期五
2018/4/20,Protests,Protest with intervention,Guizhou,星期五
2018/4/20,Protests,Peaceful protest,Guangdong,星期五
2018/4/20,Protests,Peaceful protest,Yunnan,星期五
2018/4/20,Protests,Peaceful protest,Hunan,星期五
2018/4/20,Protests,Peaceful protest,Sichuan,星期五
2018/4/21,Strategic developments,Arrests,Xinjiang,星期六
2018/4/21,Protests,Peaceful protest,Shandong,星期六
2018/4/21,Protests,Peaceful protest,Beijing,星期六
2018/4/21,Protests,Protest with intervention,Fujian,星期六
2018/4/21,Strategic developments,Change to group/activity,Henan,星期六
2018/4/21,Protests,Peaceful protest,Shandong,星期六
2018/4/21,Protests,Peaceful protest,Guangdong,星期六
2018/4/21,Protests,Peaceful protest,Hebei,星期六
2018/4/22,Violence against civilians,Abduction/forced disappearance,Fujian,星期日
2018/4/22,Protests,Peaceful protest,Shandong,星期日
2018/4/23,Protests,Peaceful protest,Hunan,星期一
2018/4/23,Protests,Peaceful protest,Beijing,星期一
2018/4/23,Protests,Peaceful protest,Anhui,星期一
2018/4/23,Violence against civilians,Attack,Henan,星期一
2018/4/23,Violence against civilians,Attack,Xinjiang,星期一
2018/4/23,Strategic developments,Change to group/activity,Henan,星期一
2018/4/24,Protests,Peaceful protest,Shanxi,星期二
2018/4/24,Protests,Peaceful protest,Guangdong,星期二
2018/4/24,Protests,Protest with intervention,Zhejiang,星期二
2018/4/24,Protests,Peaceful protest,Sichuan,星期二
2018/4/24,Protests,Peaceful protest,Shanghai,星期二
2018/4/24,Strategic developments,Looting/property destruction,Henan,星期二
2018/4/24,Strategic developments,Change to group/activity,Henan,星期二
2018/4/25,Protests,Peaceful protest,Shaanxi,星期三
2018/4/25,Protests,Peaceful protest,Shanghai,星期三
2018/4/25,Protests,Peaceful protest,Jiangxi,星期三
2018/4/25,Protests,Peaceful protest,Henan,星期三
2018/4/25,Strategic developments,Looting/property destruction,Xinjiang,星期三
2018/4/25,Protests,Peaceful protest,Gansu,星期三
2018/4/25,Protests,Peaceful protest,Jiangsu,星期三
2018/4/25,Protests,Peaceful protest,Inner Mongolia,星期三
2018/4/26,Protests,Protest with intervention,Heilongjiang,星期四
2018/4/26,Protests,Peaceful protest,Guizhou,星期四
2018/4/26,Protests,Peaceful protest,Jiangsu,星期四
2018/4/26,Protests,Peaceful protest,Fujian,星期四
2018/4/26,Protests,Peaceful protest,Tianjin,星期四
2018/4/26,Protests,Peaceful protest,Zhejiang,星期四
2018/4/26,Violence against civilians,Attack,Chongqing,星期四
2018/4/26,Protests,Peaceful protest,Guangxi,星期四
2018/4/26,Protests,Peaceful protest,Jiangsu,星期四
2018/4/26,Protests,Peaceful protest,Guangdong,星期四
2018/4/26,Protests,Peaceful protest,Hunan,星期四
2018/4/27,Protests,Peaceful protest,Shaanxi,星期五
2018/4/27,Protests,Peaceful protest,Guizhou,星期五
2018/4/27,Protests,Peaceful protest,Jiangsu,星期五
2018/4/27,Protests,Protest with intervention,Chongqing,星期五
2018/4/27,Protests,Peaceful protest,Gansu,星期五
2018/4/27,Protests,Peaceful protest,Sichuan,星期五
2018/4/27,Protests,Peaceful protest,Henan,星期五
2018/4/27,Protests,Peaceful protest,Hubei,星期五
2018/4/27,Protests,Peaceful protest,Jiangsu,星期五
2018/4/27,Protests,Peaceful protest,Gansu,星期五
2018/4/27,Protests,Peaceful protest,Hunan,星期五
2018/4/28,Violence against civilians,Attack,Jiangsu,星期六
2018/4/28,Protests,Peaceful protest,Jiangsu,星期六
2018/4/28,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期六
2018/4/28,Protests,Peaceful protest,Jiangsu,星期六
2018/4/28,Protests,Peaceful protest,Guangxi,星期六
2018/4/28,Protests,Peaceful protest,Henan,星期六
2018/4/29,Protests,Peaceful protest,Shanghai,星期日
2018/4/29,Protests,Peaceful protest,Hunan,星期日
2018/4/29,Violence against civilians,Attack,Fujian,星期日
2018/4/29,Violence against civilians,Abduction/forced disappearance,Jiangsu,星期日
2018/4/29,Protests,Peaceful protest,Jiangxi,星期日
2018/4/30,Strategic developments,Looting/property destruction,Henan,星期一
2018/4/30,Protests,Protest with intervention,Beijing,星期一
2018/4/30,Protests,Peaceful protest,Inner Mongolia,星期一
2018/4/30,Violence against civilians,Abduction/forced disappearance,Jiangsu,星期一
2018/4/30,Protests,Peaceful protest,Guangxi,星期一
2018/4/30,Protests,Peaceful protest,Anhui,星期一
2018/4/30,Strategic developments,Change to group/activity,Fujian,星期一
2018/4/30,Protests,Peaceful protest,Jiangsu,星期一
2018/5/1,Protests,Peaceful protest,Guangxi,星期二
2018/5/1,Protests,Peaceful protest,Macao,星期二
2018/5/1,Violence against civilians,Abduction/forced disappearance,Chongqing,星期二
2018/5/1,Violence against civilians,Abduction/forced disappearance,Chongqing,星期二
2018/5/1,Protests,Peaceful protest,Anhui,星期二
2018/5/1,Strategic developments,Looting/property destruction,Xinjiang,星期二
2018/5/1,Protests,Peaceful protest,Shandong,星期二
2018/5/1,Protests,Peaceful protest,Macao,星期二
2018/5/1,Protests,Peaceful protest,Macao,星期二
2018/5/1,Violence against civilians,Attack,Xinjiang,星期二
2018/5/1,Protests,Peaceful protest,Hunan,星期二
2018/5/1,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期二
2018/5/1,Violence against civilians,Abduction/forced disappearance,Shandong,星期二
2018/5/1,Strategic developments,Looting/property destruction,Guangdong,星期二
2018/5/1,Protests,Peaceful protest,Hebei,星期二
2018/5/1,Protests,Peaceful protest,Henan,星期二
2018/5/2,Protests,Peaceful protest,Guangxi,星期三
2018/5/2,Riots,Violent demonstration,Anhui,星期三
2018/5/2,Protests,Peaceful protest,Shaanxi,星期三
2018/5/2,Protests,Peaceful protest,Hubei,星期三
2018/5/2,Protests,Peaceful protest,Yunnan,星期三
2018/5/2,Protests,Peaceful protest,Hunan,星期三
2018/5/2,Protests,Peaceful protest,Beijing,星期三
2018/5/2,Protests,Peaceful protest,Hunan,星期三
2018/5/2,Protests,Peaceful protest,Guangdong,星期三
2018/5/3,Protests,Peaceful protest,Liaoning,星期四
2018/5/3,Protests,Peaceful protest,Jiangsu,星期四
2018/5/3,Violence against civilians,Abduction/forced disappearance,Beijing,星期四
2018/5/3,Protests,Peaceful protest,Sichuan,星期四
2018/5/3,Protests,Peaceful protest,Jiangsu,星期四
2018/5/4,Violence against civilians,Attack,Jiangsu,星期五
2018/5/4,Protests,Peaceful protest,Shaanxi,星期五
2018/5/4,Violence against civilians,Abduction/forced disappearance,Beijing,星期五
2018/5/4,Protests,Peaceful protest,Inner Mongolia,星期五
2018/5/4,Violence against civilians,Attack,Xinjiang,星期五
2018/5/4,Protests,Peaceful protest,Fujian,星期五
2018/5/4,Protests,Peaceful protest,Shaanxi,星期五
2018/5/4,Protests,Peaceful protest,Jiangsu,星期五
2018/5/4,Protests,Peaceful protest,Jiangxi,星期五
2018/5/4,Protests,Protest with intervention,Guangdong,星期五
2018/5/4,Protests,Peaceful protest,Henan,星期五
2018/5/5,Protests,Peaceful protest,Hunan,星期六
2018/5/5,Protests,Peaceful protest,Fujian,星期六
2018/5/5,Protests,Peaceful protest,Shaanxi,星期六
2018/5/5,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期六
2018/5/5,Strategic developments,Looting/property destruction,Henan,星期六
2018/5/5,Protests,Peaceful protest,Guangdong,星期六
2018/5/6,Protests,Protest with intervention,Tibet,星期日
2018/5/6,Violence against civilians,Attack,Beijing,星期日
2018/5/6,Violence against civilians,Attack,Tibet,星期日
2018/5/6,Strategic developments,Looting/property destruction,Shandong,星期日
2018/5/6,Strategic developments,Change to group/activity,Jiangxi,星期日
2018/5/6,Protests,Peaceful protest,Guizhou,星期日
2018/5/6,Protests,Peaceful protest,Guangdong,星期日
2018/5/7,Violence against civilians,Attack,Beijing,星期一
2018/5/7,Protests,Peaceful protest,Shanghai,星期一
2018/5/7,Protests,Peaceful protest,Liaoning,星期一
2018/5/7,Protests,Peaceful protest,Shaanxi,星期一
2018/5/7,Protests,Peaceful protest,Inner Mongolia,星期一
2018/5/7,Protests,Peaceful protest,Jiangxi,星期一
2018/5/7,Protests,Peaceful protest,Jilin,星期一
2018/5/7,Protests,Peaceful protest,Shanghai,星期一
2018/5/7,Protests,Peaceful protest,Beijing,星期一
2018/5/7,Violence against civilians,Attack,Guangxi,星期一
2018/5/7,Protests,Peaceful protest,Gansu,星期一
2018/5/7,Protests,Peaceful protest,Sichuan,星期一
2018/5/7,Protests,Peaceful protest,Yunnan,星期一
2018/5/7,Protests,Peaceful protest,Chongqing,星期一
2018/5/7,Protests,Peaceful protest,Hubei,星期一
2018/5/7,Protests,Peaceful protest,Shanghai,星期一
2018/5/7,Protests,Peaceful protest,Guangdong,星期一
2018/5/7,Protests,Peaceful protest,Guangdong,星期一
2018/5/7,Protests,Peaceful protest,Shaanxi,星期一
2018/5/8,Protests,Peaceful protest,Guangdong,星期二
2018/5/8,Protests,Peaceful protest,Shanghai,星期二
2018/5/8,Protests,Protest with intervention,Beijing,星期二
2018/5/8,Violence against civilians,Abduction/forced disappearance,Hubei,星期二
2018/5/8,Violence against civilians,Abduction/forced disappearance,Tibet,星期二
2018/5/8,Protests,Peaceful protest,Zhejiang,星期二
2018/5/8,Protests,Peaceful protest,Anhui,星期二
2018/5/8,Protests,Peaceful protest,Hubei,星期二
2018/5/8,Protests,Peaceful protest,Zhejiang,星期二
2018/5/8,Protests,Protest with intervention,Guangdong,星期二
2018/5/9,Protests,Protest with intervention,Shaanxi,星期三
2018/5/9,Protests,Protest with intervention,Shaanxi,星期三
2018/5/9,Protests,Peaceful protest,Fujian,星期三
2018/5/9,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期三
2018/5/9,Protests,Peaceful protest,Jiangsu,星期三
2018/5/9,Protests,Peaceful protest,Shaanxi,星期三
2018/5/9,Protests,Peaceful protest,Jiangsu,星期三
2018/5/10,Protests,Peaceful protest,Hubei,星期四
2018/5/10,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期四
2018/5/10,Strategic developments,Looting/property destruction,Henan,星期四
2018/5/10,Strategic developments,Looting/property destruction,Fujian,星期四
2018/5/10,Strategic developments,Looting/property destruction,Jiangxi,星期四
2018/5/10,Protests,Peaceful protest,Zhejiang,星期四
2018/5/10,Protests,Peaceful protest,Zhejiang,星期四
2018/5/10,Protests,Peaceful protest,Henan,星期四
2018/5/10,Protests,Peaceful protest,Liaoning,星期四
2018/5/11,Protests,Peaceful protest,Fujian,星期五
2018/5/11,Protests,Peaceful protest,Anhui,星期五
2018/5/11,Protests,Peaceful protest,Guangxi,星期五
2018/5/11,Riots,Violent demonstration,Shandong,星期五
2018/5/11,Protests,Peaceful protest,Jilin,星期五
2018/5/11,Violence against civilians,Attack,Guangdong,星期五
2018/5/11,Protests,Peaceful protest,Hebei,星期五
2018/5/11,Violence against civilians,Abduction/forced disappearance,Sichuan,星期五
2018/5/11,Protests,Peaceful protest,Shaanxi,星期五
2018/5/11,Violence against civilians,Attack,Shanghai,星期五
2018/5/11,Protests,Peaceful protest,Shandong,星期五
2018/5/11,Protests,Peaceful protest,Shaanxi,星期五
2018/5/11,Strategic developments,Looting/property destruction,Henan,星期五
2018/5/11,Strategic developments,Looting/property destruction,Jiangsu,星期五
2018/5/11,Protests,Peaceful protest,Chongqing,星期五
2018/5/11,Protests,Peaceful protest,Heilongjiang,星期五
2018/5/12,Protests,Peaceful protest,Guizhou,星期六
2018/5/12,Protests,Peaceful protest,Jiangxi,星期六
2018/5/12,Protests,Peaceful protest,Sichuan,星期六
2018/5/12,Protests,Peaceful protest,Anhui,星期六
2018/5/12,Violence against civilians,Attack,Sichuan,星期六
2018/5/12,Strategic developments,Looting/property destruction,Jiangsu,星期六
2018/5/12,Protests,Protest with intervention,Sichuan,星期六
2018/5/12,Protests,Peaceful protest,Jiangxi,星期六
2018/5/12,Protests,Protest with intervention,Guangdong,星期六
2018/5/12,Violence against civilians,Attack,Beijing,星期六
2018/5/13,Strategic developments,Looting/property destruction,Jiangxi,星期日
2018/5/13,Strategic developments,Looting/property destruction,Jiangsu,星期日
2018/5/13,Protests,Peaceful protest,Shaanxi,星期日
2018/5/13,Violence against civilians,Attack,Beijing,星期日
2018/5/13,Violence against civilians,Abduction/forced disappearance,Guangdong,星期日
2018/5/13,Protests,Peaceful protest,Shandong,星期日
2018/5/13,Strategic developments,Looting/property destruction,Henan,星期日
